# np run time max_difference
1 1 0.196629 1.95177e-13
1 2 0.200467 1.95177e-13
1 3 0.203298 1.95177e-13
1 4 0.1963 1.95177e-13
1 5 0.202109 1.95177e-13
2 1 0.39543 1.95177e-13
2 2 0.41354 1.95177e-13
2 3 0.380581 1.95177e-13
2 4 0.401173 1.95177e-13
2 5 0.391784 1.95177e-13
4 1 0.62163 1.95177e-13
4 2 0.631905 1.95177e-13
4 3 0.591973 1.95177e-13
4 4 0.58645 1.95177e-13
4 5 0.599232 1.95177e-13
8 1 0.872992 1.95177e-13
8 2 0.889284 1.95177e-13
8 3 0.870661 1.95177e-13
8 4 0.865057 1.95177e-13
8 5 0.859144 1.95177e-13
16 1 0.8756 1.95177e-13
16 2 0.826555 1.95177e-13
16 3 0.8923 1.95177e-13
16 4 0.871336 1.95177e-13
16 5 0.902091 1.95177e-13
32 1 0.847084 1.95177e-13
32 2 0.829808 1.95177e-13
32 3 0.833845 1.95177e-13
32 4 0.82855 1.95177e-13
32 5 0.808426 1.95177e-13
64 1 0.738297 1.95177e-13
64 2 0.751909 1.95177e-13
64 3 0.733315 1.95177e-13
64 4 0.740218 1.95177e-13
64 5 0.761382 1.95177e-13
