# np run time max_difference
1 1 0.0103749 1.07622e-13
1 2 0.00869178 1.07622e-13
1 3 0.00860992 1.07622e-13
1 4 0.00817861 1.07622e-13
1 5 0.00830904 1.07622e-13
2 1 0.095722 1.07622e-13
2 2 0.0937574 1.07622e-13
2 3 0.103192 1.07622e-13
2 4 0.0957763 1.07622e-13
2 5 0.109212 1.07622e-13
4 1 0.151798 1.07622e-13
4 2 0.194768 1.07622e-13
4 3 0.194708 1.07622e-13
4 4 0.162009 1.07622e-13
4 5 0.196238 1.07622e-13
8 1 0.258756 1.07622e-13
8 2 0.272243 1.07622e-13
8 3 0.255998 1.07622e-13
8 4 0.26522 1.07622e-13
8 5 0.255347 1.07622e-13
16 1 0.269476 1.07622e-13
16 2 0.269601 1.07622e-13
16 3 0.275087 1.07622e-13
16 4 0.264756 1.07622e-13
16 5 0.257515 1.07622e-13
32 1 0.262468 1.07622e-13
32 2 0.270561 1.07622e-13
32 3 0.229188 1.07622e-13
32 4 0.266599 1.07622e-13
32 5 0.264705 1.07622e-13
64 1 0.202741 1.07622e-13
64 2 0.235146 1.07622e-13
64 3 0.219952 1.07622e-13
64 4 0.233117 1.07622e-13
64 5 0.201338 1.07622e-13
