# np run time max_difference
1 1 3.95908 1.51546e-12
1 2 4.12636 1.51546e-12
1 3 4.04509 1.51546e-12
1 4 4.11537 1.51546e-12
1 5 3.97275 1.51546e-12
2 1 1.99396 1.51546e-12
2 2 1.88488 1.51546e-12
2 3 1.94667 1.51546e-12
2 4 2.00638 1.51546e-12
2 5 1.91691 1.51546e-12
4 1 2.05154 1.51546e-12
4 2 2.15687 1.51546e-12
4 3 2.11699 1.51546e-12
4 4 2.05026 1.51546e-12
4 5 2.0733 1.51546e-12
8 1 2.75185 1.51546e-12
8 2 2.66407 1.51546e-12
8 3 2.52877 1.51546e-12
8 4 2.57532 1.51546e-12
8 5 2.74054 1.51546e-12
16 1 2.53567 1.51546e-12
16 2 2.53371 1.51546e-12
16 3 2.49485 1.51546e-12
16 4 2.49644 1.51546e-12
16 5 2.50001 1.51546e-12
32 1 2.38563 1.51546e-12
32 2 2.28377 1.51546e-12
32 3 2.39601 1.51546e-12
32 4 2.32165 1.51546e-12
32 5 2.42072 1.51546e-12
64 1 2.13674 1.51546e-12
64 2 2.17676 1.51546e-12
64 3 2.24293 1.51546e-12
64 4 2.32978 1.51546e-12
64 5 2.26937 1.51546e-12
