# np run time max_difference
1 1 1.61388 2.34195e-11
1 2 1.67917 2.34195e-11
1 3 1.61391 2.34195e-11
1 4 1.61973 2.34195e-11
1 5 1.63694 2.34195e-11
2 1 1.36609 2.34195e-11
2 2 1.37477 2.34195e-11
2 3 1.37469 2.34195e-11
2 4 1.39952 2.34195e-11
2 5 1.34854 2.34195e-11
4 1 1.5921 2.34195e-11
4 2 1.60377 2.34195e-11
4 3 1.60705 2.34195e-11
4 4 1.67592 2.34195e-11
4 5 1.59897 2.34195e-11
8 1 2.18205 2.34195e-11
8 2 2.04989 2.34195e-11
8 3 2.13769 2.34195e-11
8 4 2.18083 2.34195e-11
8 5 2.06036 2.34195e-11
16 1 2.01685 2.34195e-11
16 2 1.94939 2.34195e-11
16 3 2.08338 2.34195e-11
16 4 2.04272 2.34195e-11
16 5 2.02558 2.34195e-11
32 1 1.85642 2.34195e-11
32 2 1.90338 2.34195e-11
32 3 1.85461 2.34195e-11
32 4 1.81068 2.34195e-11
32 5 1.94894 2.34195e-11
64 1 1.84818 2.34195e-11
64 2 1.79471 2.34195e-11
64 3 1.81398 2.34195e-11
64 4 1.71047 2.34195e-11
64 5 1.93357 2.34195e-11
