# np run time max_difference
1 1 0.873911 2.61249e-13
1 2 0.87168 2.61249e-13
1 3 0.871567 2.61249e-13
1 4 0.873371 2.61249e-13
1 5 0.871847 2.61249e-13
2 1 0.897218 2.61249e-13
2 2 0.923817 2.61249e-13
2 3 0.942707 2.61249e-13
2 4 0.986105 2.61249e-13
2 5 0.999879 2.61249e-13
4 1 1.24101 2.61249e-13
4 2 1.27313 2.61249e-13
4 3 1.22411 2.61249e-13
4 4 1.24531 2.61249e-13
4 5 1.22217 2.61249e-13
8 1 1.72398 2.61249e-13
8 2 1.66255 2.61249e-13
8 3 1.70449 2.61249e-13
8 4 1.72901 2.61249e-13
8 5 1.62903 2.61249e-13
16 1 1.61257 2.61249e-13
16 2 1.65191 2.61249e-13
16 3 1.61078 2.61249e-13
16 4 1.61693 2.61249e-13
16 5 1.6165 2.61249e-13
32 1 1.50929 2.61249e-13
32 2 1.56568 2.61249e-13
32 3 1.52622 2.61249e-13
32 4 1.51516 2.61249e-13
32 5 1.51935 2.61249e-13
64 1 1.39273 2.61249e-13
64 2 1.39456 2.61249e-13
64 3 1.40823 2.61249e-13
64 4 1.44237 2.61249e-13
64 5 1.37298 2.61249e-13
