# np run time max_difference
1 1 0.0620446 8.86513e-14
1 2 0.0587418 8.86513e-14
1 3 0.0605831 8.86513e-14
1 4 0.0698281 8.86513e-14
1 5 0.0611833 8.86513e-14
2 1 0.192083 8.86513e-14
2 2 0.227767 8.86513e-14
2 3 0.199581 8.86513e-14
2 4 0.227201 8.86513e-14
2 5 0.21101 8.86513e-14
4 1 0.379823 8.86513e-14
4 2 0.367796 8.86513e-14
4 3 0.366294 8.86513e-14
4 4 0.357189 8.86513e-14
4 5 0.363731 8.86513e-14
8 1 0.567941 8.86513e-14
8 2 0.544685 8.86513e-14
8 3 0.545792 8.86513e-14
8 4 0.565435 8.86513e-14
8 5 0.554028 8.86513e-14
16 1 0.56518 8.86513e-14
16 2 0.549327 8.86513e-14
16 3 0.497332 8.86513e-14
16 4 0.554807 8.86513e-14
16 5 0.571831 8.86513e-14
32 1 0.507013 8.86513e-14
32 2 0.527651 8.86513e-14
32 3 0.532312 8.86513e-14
32 4 0.510315 8.86513e-14
32 5 0.518614 8.86513e-14
64 1 0.48874 8.86513e-14
64 2 0.455679 8.86513e-14
64 3 0.528867 8.86513e-14
64 4 0.47607 8.86513e-14
64 5 0.462714 8.86513e-14
