# np run time max_difference
1 1 9.15621 1.44884e-12
1 2 8.97326 1.44884e-12
1 3 8.92716 1.44884e-12
1 4 8.89596 1.44884e-12
1 5 8.86074 1.44884e-12
2 1 2.76882 1.44884e-12
2 2 2.80693 1.44884e-12
2 3 2.75091 1.44884e-12
2 4 2.7454 1.44884e-12
2 5 2.75682 1.44884e-12
4 1 2.70012 1.44884e-12
4 2 2.66673 1.44884e-12
4 3 2.65619 1.44884e-12
4 4 2.64731 1.44884e-12
4 5 2.68625 1.44884e-12
8 1 3.24747 1.44884e-12
8 2 3.14658 1.44884e-12
8 3 3.11975 1.44884e-12
8 4 3.25855 1.44884e-12
8 5 3.1296 1.44884e-12
16 1 2.91795 1.44884e-12
16 2 3.04903 1.44884e-12
16 3 3.0155 1.44884e-12
16 4 2.8764 1.44884e-12
16 5 2.9321 1.44884e-12
32 1 2.92918 1.44884e-12
32 2 2.81895 1.44884e-12
32 3 2.82099 1.44884e-12
32 4 2.77471 1.44884e-12
32 5 2.82207 1.44884e-12
64 1 2.62377 1.44884e-12
64 2 2.6747 1.44884e-12
64 3 2.75681 1.44884e-12
64 4 2.6408 1.44884e-12
64 5 2.73729 1.44884e-12
