# np run time
1 1 4.23036
1 2 4.8051
1 3 5.95259
1 4 5.09358
1 5 7.66335
4 1 0.84761
4 2 0.863002
4 3 0.816467
4 4 0.787981
4 5 0.854152
9 1 0.430974
9 2 0.432112
9 3 0.424455
9 4 0.425359
9 5 0.4635
16 1 0.413066
16 2 0.439516
16 3 0.43605
16 4 0.424538
16 5 0.411242
25 1 0.521002
25 2 0.48862
25 3 0.501363
25 4 0.518044
25 5 0.501701
36 1 0.280344
36 2 0.280527
36 3 0.27298
36 4 0.288959
36 5 0.277811
49 1 0.459164
49 2 0.437646
49 3 0.419517
49 4 0.441057
49 5 0.436162
