# np run time
1 1 0.278323
1 2 0.278325
1 3 0.278299
1 4 0.278511
1 5 0.278308
4 1 0.143975
4 2 0.134591
4 3 0.123096
4 4 0.13908
4 5 0.136794
9 1 0.096038
9 2 0.104368
9 3 0.115365
9 4 0.116516
9 5 0.108244
16 1 0.0987785
16 2 0.113018
16 3 0.105468
16 4 0.119248
16 5 0.14069
25 1 0.123666
25 2 0.278356
25 3 0.128211
25 4 0.130205
25 5 0.118568
36 1 0.0713633
36 2 0.0649241
36 3 0.0662887
36 4 0.0676175
36 5 0.0654172
49 1 0.114522
49 2 0.1133
49 3 0.114267
49 4 0.114932
49 5 0.111046
