# np run time
1 1 0.923943
1 2 0.911652
1 3 0.950506
1 4 0.936282
1 5 0.959698
4 1 0.381729
4 2 0.369212
4 3 0.380851
4 4 0.382919
4 5 0.356799
9 1 0.246131
9 2 0.198931
9 3 0.219243
9 4 0.225785
9 5 0.192359
16 1 0.243078
16 2 0.239372
16 3 0.233767
16 4 0.248175
16 5 0.233882
25 1 0.269314
25 2 0.273805
25 3 0.26859
25 4 0.320247
25 5 0.322862
36 1 0.146356
36 2 0.142049
36 3 0.149893
36 4 0.150917
36 5 0.141303
49 1 0.251972
49 2 0.251921
49 3 0.251691
49 4 0.256402
49 5 0.243119
