# np run time
1 1 30.5452
1 2 30.6241
1 3 31.3471
1 4 30.1492
1 5 30.1056
4 1 2.48489
4 2 2.62053
4 3 2.52437
4 4 2.54645
4 5 2.54339
9 1 1.23228
9 2 1.17774
9 3 2.01907
9 4 1.20188
9 5 1.14644
16 1 1.06992
16 2 1.01624
16 3 1.08205
16 4 1.07078
16 5 1.05739
25 1 1.29187
25 2 1.23141
25 3 1.17956
25 4 2.54097
25 5 1.2927
36 1 0.636451
36 2 1.21672
36 3 0.635192
36 4 0.640094
36 5 0.654042
49 1 0.989751
49 2 1.01089
49 3 0.980066
49 4 0.994644
49 5 0.990356
