# np run time
1 1 16.7912
1 2 16.9421
1 3 16.6715
1 4 16.5415
1 5 16.9498
4 1 1.61111
4 2 1.51295
4 3 1.59123
4 4 1.58781
4 5 1.49368
9 1 0.765619
9 2 0.741301
9 3 0.716933
9 4 0.761916
9 5 0.748809
16 1 0.702572
16 2 0.708126
16 3 0.712002
16 4 0.722833
16 5 0.701325
25 1 0.850446
25 2 0.787767
25 3 0.798556
25 4 0.804843
25 5 0.782513
36 1 0.442318
36 2 0.432991
36 3 0.435318
36 4 0.439098
36 5 0.430648
49 1 0.718892
49 2 0.683819
49 3 0.682074
49 4 0.681668
49 5 0.659384
